num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
330,G,0.4,4,3,4,30,8,5,21.21358605,11.34942567,85.79931481,78.78641395,3.428894512,0.028027496,89.24553965,0.11850211,118.3754135,51.24707461,96.77346849
331,G,0.2,3,4,4,30,8,5,10.61312416,11.09020797,168.0875658,89.38687584,1.532588501,0.02848522,40.59094354,0.066314675,50.99567481,21.7691072,40.95761078
332,G,0.3,3,4,4,30,8,5,15.9477606,11.17748535,112.458235,84.0522394,2.49921945,0.028367724,65.89872981,0.089283139,85.68320095,36.46477036,67.88860918
333,G,0.4,3,4,4,30,8,5,21.30233966,11.43150104,85.36926613,78.69766034,3.538016145,0.028347709,93.2186182,0.12498422,123.4536249,52.27782992,100.7900767
334,G,0.2,4,4,4,30,8,5,9.64208396,10.05313223,165.1891099,90.35791604,1.050572813,0.033459456,33.05044962,0.068908408,38.831443,17.21103162,35.14930272
335,G,0.3,4,4,4,30,8,5,14.47318388,10.32740241,110.9335547,85.52681612,1.730753409,0.033430559,54.39854682,0.088051036,66.27435916,29.70330697,58.633605
336,G,0.4,4,4,4,30,8,5,19.32603893,10.21433727,84.11107401,80.67396107,2.467196489,0.033348827,77.3437157,0.108435288,96.83867515,42.16103529,82.58166902
337,G,0.2,3,3,3,60,8,5,12.83934355,13.50783421,165.5448857,87.16065645,1.58927897,0.034449937,51.57200252,0.108428836,64.72209519,29.36268484,57.55518176
338,G,0.3,3,3,3,60,8,5,19.34559714,13.46931848,110.3844073,80.65440286,2.585374745,0.034684425,84.50148602,0.178647429,107.5366234,47.69142859,96.72622892
339,G,0.4,3,3,3,60,8,5,25.80760845,13.56124293,83.75614964,74.19239155,3.677317604,0.034552939,119.7074957,0.186310142,155.6642087,67.13806382,131.9397591
340,G,0.2,4,3,3,60,8,5,11.61124992,12.37199881,166.6692173,88.38875008,1.243892676,0.032011474,37.33105217,0.160825282,46.80904456,22.79049327,46.69428475
341,G,0.3,4,3,3,60,8,5,17.40536574,12.43655219,112.1765115,82.59463426,2.047637725,0.031995136,61.41917282,0.199113995,79.16733183,37.86476856,77.32637177
342,G,0.4,4,3,3,60,8,5,23.26002688,12.5025866,84.8522639,76.73997312,2.93427415,0.031947381,87.87382577,0.149340779,114.8077401,54.4808088,111.690222
343,G,0.2,3,4,3,60,8,5,11.74009952,12.38749425,168.1188425,88.25990048,1.837635064,0.029463264,50.46745666,0.071444079,62.51672776,26.53631742,48.21522159
344,G,0.3,3,4,3,60,8,5,17.62100776,12.61645401,112.6023083,82.37899224,2.98356037,0.029070291,80.76584793,0.09823221,103.5696242,43.61457453,78.92831123
345,G,0.4,3,4,3,60,8,5,23.51503278,12.5397432,84.58568775,76.48496722,4.20062719,0.029159274,114.0859832,0.122471318,149.033268,61.59242662,110.9278154
346,G,0.2,4,4,3,60,8,5,10.62336642,11.44783811,167.8171309,89.37663358,1.223773011,0.03562693,41.15172972,0.060075559,46.46111008,20.44758568,38.83763548
347,G,0.3,4,4,3,60,8,5,16.01063465,11.41240855,112.7076023,83.98936535,1.984426613,0.03595763,67.38642561,0.072857454,78.52099023,34.30595822,64.17141561
