num,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
929,0.3,4,3,4,60,8,10,19.20673441,55.38229872,114.559861,80.79326559,2.514876593,0.033374591,78.90322362,0.155626506,109.1377054,49.622706,99.45497912
930,0.4,4,3,4,60,8,10,25.59544405,55.03740077,85.88488073,74.40455595,3.563953209,0.033158226,111.0464589,0.181135803,157.3582198,69.65430228,138.6016062
931,0.2,3,4,4,60,8,10,12.75219414,54.73795399,171.9226918,87.24780586,1.822818139,0.036149204,62.24778919,0.13284272,79.71647908,33.22910584,61.7541002
932,0.3,3,4,4,60,8,10,19.12254119,54.87684374,114.1191379,80.87745881,3.052799424,0.035557195,102.4433859,0.159697935,131.6653447,54.36173825,101.874325
933,0.4,3,4,4,60,8,10,25.50708413,55.05246443,85.70919474,74.49291587,4.279450853,0.037416077,151.5613609,0.157040715,190.1100106,77.41540847,143.5401371
934,0.2,4,4,4,60,8,10,11.52835267,48.97795041,168.8503386,88.47164733,1.573109816,0.033639388,49.77223238,0.123896956,64.53312276,28.27279856,55.67247157
935,0.3,4,4,4,60,8,10,17.39053076,49.43317951,112.5594207,82.60946924,2.570158579,0.033292561,80.42684535,0.15581122,107.1914116,46.23243891,90.37613584
936,0.4,4,4,4,60,8,10,23.18390657,49.07685531,84.45058919,76.81609343,3.638029785,0.033435853,114.3645711,0.173671424,154.8921839,41.49585276,134.327668
937,0.2,3,3,3,0,10,10,15.51710181,81.68912421,167.3034927,84.48289819,3.226571388,0.025392335,75.4770379,0.197919869,107.4036347,44.20578489,89.13828978
938,0.3,3,3,3,0,10,10,23.35489992,81.07587383,110.5648199,76.64510008,5.519181224,0.022745492,114.4981287,0.194274962,170.2644986,72.99617883,150.7064809
939,0.4,3,3,3,0,10,10,31.13040128,80.96273143,82.24881664,68.86959872,7.655926941,0.024584447,172.9048792,0.170585299,237.4521637,99.81404566,209.848157
940,0.2,4,3,3,0,10,10,14.16606995,75.60999813,170.2450578,85.83393005,2.80792445,0.02290286,58.69365304,0.175626469,111.5664973,37.43778265,75.68382608
941,0.3,4,3,3,0,10,10,21.20579375,76.40077787,113.0921698,78.79420625,4.059053123,0.027141409,102.0503164,0.194587278,149.3762981,59.46106004,122.8179061
942,0.4,4,3,3,0,10,10,28.3381239,75.19592985,84.17000877,71.6618761,6.118079764,0.024872246,139.9342273,0.185755098,200.5096289,81.57266827,171.4651228
